,ARI,NMI,Silhouette
k-means,0.427,0.48,0.096
k-means + pca,0.416,0.471,0.239
k-means + tsne,0.401,0.432,0.416
k-means + umap,0.417,0.452,0.396
Birch,0.244,0.347,0.058
Birch + pca,0.147,0.292,0.134
Birch + tsne,0.33,0.35,0.323
Birch + umap,0.41,0.459,0.413
GMM,0.39,0.476,0.036
GMM + pca,0.456,0.472,0.135
GMM + tsne,0.32,0.411,0.359
GMM + umap,0.483,0.451,0.322
PAM,0.231,0.256,0.068
PAM + pca,0.433,0.471,0.243
PAM + tsne,0.402,0.433,0.415
PAM + umap,0.416,0.452,0.396
Spectral Clustering,0.449,0.511,0.095
Spectral Clustering + pca,0.422,0.481,0.24
Spectral Clustering + tsne,0.384,0.433,0.409
Spectral Clustering + umap,0.39,0.448,0.379
