,ARI,NMI,Silhouette
k-means,0.864,0.794,0.133
k-means + pca,0.848,0.772,0.39
k-means + tsne,0.436,0.471,0.286
k-means + umap,0.839,0.761,0.557
Birch,0.699,0.608,0.115
Birch + pca,0.81,0.747,0.369
Birch + tsne,0.672,0.558,0.236
Birch + umap,0.843,0.764,0.558
GMM,0.623,0.644,0.117
GMM + pca,0.855,0.781,0.388
GMM + tsne,0.386,0.399,0.242
GMM + umap,0.84,0.754,0.557
PAM,0.374,0.468,0.098
PAM + pca,0.846,0.772,0.389
PAM + tsne,0.361,0.419,0.285
PAM + umap,0.84,0.761,0.558
Spectral Clustering,0.846,0.758,0.131
Spectral Clustering + pca,0.847,0.764,0.389
Spectral Clustering + tsne,0.416,0.441,0.281
Spectral Clustering + umap,0.829,0.743,0.558
