,ARI,NMI,Silhouette
k-means,0.721,0.835,0.154
k-means + pca,0.721,0.834,0.3
k-means + tsne,0.64,0.764,0.351
k-means + umap,0.951,0.927,0.768
Birch,0.916,0.876,0.179
Birch + pca,0.764,0.811,0.265
Birch + tsne,0.693,0.803,0.322
Birch + umap,0.852,0.863,0.736
GMM,0.893,0.881,0.152
GMM + pca,0.641,0.743,0.162
GMM + tsne,0.629,0.767,0.313
GMM + umap,0.951,0.927,0.768
PAM,0.689,0.777,0.14
PAM + pca,0.717,0.821,0.295
PAM + tsne,0.655,0.77,0.349
PAM + umap,0.728,0.845,0.572
Spectral Clustering,0.955,0.928,0.188
Spectral Clustering + pca,0.727,0.835,0.296
Spectral Clustering + tsne,0.93,0.907,0.334
Spectral Clustering + umap,0.57,0.797,0.316
