,ARI,NMI,Silhouette
k-means,0.723,0.643,0.103
k-means + pca,0.708,0.628,0.335
k-means + tsne,0.384,0.407,0.279
k-means + umap,0.669,0.595,0.455
Birch,0.592,0.493,0.08
Birch + pca,0.599,0.522,0.305
Birch + tsne,0.309,0.32,0.23
Birch + umap,0.662,0.593,0.454
GMM,0.441,0.433,0.072
GMM + pca,0.341,0.453,0.239
GMM + tsne,0.274,0.309,0.246
GMM + umap,0.474,0.482,0.358
PAM,0.318,0.397,0.08
PAM + pca,0.715,0.631,0.334
PAM + tsne,0.462,0.439,0.275
PAM + umap,0.677,0.596,0.457
Spectral Clustering,0.723,0.627,0.1
Spectral Clustering + pca,0.734,0.644,0.333
Spectral Clustering + tsne,0.399,0.4,0.273
Spectral Clustering + umap,0.648,0.586,0.449
