,ARI,NMI,Silhouette
k-means,0.578,0.658,0.117
k-means + pca,0.548,0.644,0.121
k-means + tsne,0.553,0.586,0.108
k-means + umap,0.554,0.639,0.109
Birch,0.51,0.569,0.101
Birch + pca,0.587,0.6,0.095
Birch + tsne,0.482,0.565,0.079
Birch + umap,0.652,0.671,0.142
GMM,0.583,0.627,0.063
GMM + pca,0.666,0.687,0.117
GMM + tsne,0.487,0.543,0.09
GMM + umap,0.572,0.651,0.108
PAM,0.431,0.494,0.088
PAM + pca,0.55,0.642,0.12
PAM + tsne,0.576,0.591,0.106
PAM + umap,0.539,0.637,0.107
Spectral Clustering,0.852,0.779,0.127
Spectral Clustering + pca,0.567,0.664,0.12
Spectral Clustering + tsne,0.741,0.675,0.116
Spectral Clustering + umap,0.825,0.749,0.123
