,ARI,NMI,Silhouette
k-means,0.432,0.456,0.077
k-means + pca,0.418,0.481,0.076
k-means + tsne,0.326,0.362,0.056
k-means + umap,0.409,0.452,0.065
Birch,0.389,0.382,0.052
Birch + pca,0.346,0.432,0.065
Birch + tsne,0.36,0.375,0.05
Birch + umap,0.54,0.478,0.082
GMM,0.45,0.443,0.058
GMM + pca,0.382,0.427,0.06
GMM + tsne,0.186,0.227,0.02
GMM + umap,0.391,0.446,0.065
PAM,0.166,0.272,0.042
PAM + pca,0.404,0.448,0.069
PAM + tsne,0.332,0.367,0.056
PAM + umap,0.422,0.456,0.064
Spectral Clustering,0.595,0.522,0.08
Spectral Clustering + pca,0.542,0.486,0.081
Spectral Clustering + tsne,0.288,0.352,0.054
Spectral Clustering + umap,0.519,0.46,0.07
