,ARI,NMI,Silhouette
k-means,0.43,0.472,0.076
k-means + pca,0.407,0.456,0.177
k-means + tsne,0.276,0.35,0.265
k-means + umap,0.346,0.394,0.333
Birch,0.318,0.321,0.037
Birch + pca,0.326,0.345,0.115
Birch + tsne,0.285,0.337,0.187
Birch + umap,0.436,0.396,0.38
GMM,0.246,0.289,0.016
GMM + pca,0.298,0.392,0.131
GMM + tsne,0.201,0.318,0.196
GMM + umap,0.516,0.41,0.31
PAM,0.159,0.224,0.043
PAM + pca,0.392,0.428,0.171
PAM + tsne,0.276,0.336,0.258
PAM + umap,0.335,0.392,0.327
Spectral Clustering,0.396,0.438,0.065
Spectral Clustering + pca,0.374,0.432,0.171
Spectral Clustering + tsne,0.252,0.352,0.253
Spectral Clustering + umap,0.358,0.399,0.319
