,ARI,NMI,Silhouette
k-means,0.492,0.547,0.081
k-means + pca,0.465,0.519,0.186
k-means + tsne,0.327,0.401,0.375
k-means + umap,0.372,0.469,0.33
Birch,0.4,0.389,0.042
Birch + pca,0.268,0.373,0.12
Birch + tsne,0.315,0.392,0.304
Birch + umap,0.554,0.483,0.398
GMM,0.267,0.382,0.015
GMM + pca,0.444,0.492,0.147
GMM + tsne,0.341,0.407,0.321
GMM + umap,0.293,0.45,0.261
PAM,0.222,0.311,0.038
PAM + pca,0.459,0.508,0.179
PAM + tsne,0.321,0.401,0.375
PAM + umap,0.482,0.516,0.345
Spectral Clustering,0.674,0.572,0.078
Spectral Clustering + pca,0.457,0.508,0.177
Spectral Clustering + tsne,0.287,0.402,0.348
Spectral Clustering + umap,0.444,0.506,0.312
