,ARI,NMI,Silhouette
k-means,0.73,0.847,0.191
k-means + pca,0.971,0.95,0.299
k-means + tsne,0.707,0.822,0.4
k-means + umap,0.962,0.949,0.794
Birch,0.758,0.821,0.173
Birch + pca,0.613,0.822,0.22
Birch + tsne,0.803,0.854,0.375
Birch + umap,0.962,0.949,0.794
GMM,0.847,0.846,0.158
GMM + pca,1.0,1.0,0.292
GMM + tsne,0.796,0.917,0.372
GMM + umap,0.962,0.949,0.794
PAM,0.629,0.731,0.152
PAM + pca,0.763,0.897,0.312
PAM + tsne,0.705,0.819,0.399
PAM + umap,0.743,0.868,0.633
Spectral Clustering,0.959,0.935,0.208
Spectral Clustering + pca,0.768,0.906,0.311
Spectral Clustering + tsne,0.951,0.925,0.377
Spectral Clustering + umap,0.465,0.73,0.259
