,ARI,NMI,Silhouette
k-means,0.088,0.114,0.046
k-means + pca,0.094,0.106,0.111
k-means + tsne,0.077,0.089,0.246
k-means + umap,0.089,0.101,0.262
Birch,0.07,0.057,0.005
Birch + pca,0.032,0.089,0.03
Birch + tsne,0.045,0.073,0.176
Birch + umap,0.101,0.082,0.283
GMM,0.028,0.026,0.002
GMM + pca,0.027,0.073,0.066
GMM + tsne,0.058,0.081,0.202
GMM + umap,0.08,0.099,0.23
PAM,0.052,0.063,0.033
PAM + pca,0.087,0.105,0.109
PAM + tsne,0.069,0.089,0.243
PAM + umap,0.078,0.101,0.265
Spectral Clustering,0.069,0.089,0.035
Spectral Clustering + pca,0.085,0.107,0.107
Spectral Clustering + tsne,0.068,0.082,0.237
Spectral Clustering + umap,0.077,0.103,0.256
