,ARI,NMI,Silhouette
k-means,0.43,0.473,0.079
k-means + pca,0.421,0.48,0.222
k-means + tsne,0.312,0.339,0.281
k-means + umap,0.402,0.428,0.365
Birch,0.301,0.315,0.044
Birch + pca,0.343,0.396,0.173
Birch + tsne,0.265,0.284,0.205
Birch + umap,0.499,0.447,0.403
GMM,0.427,0.419,0.052
GMM + pca,0.326,0.387,0.092
GMM + tsne,0.378,0.307,0.216
GMM + umap,0.415,0.445,0.348
PAM,0.183,0.213,0.039
PAM + pca,0.409,0.461,0.212
PAM + tsne,0.31,0.334,0.28
PAM + umap,0.393,0.428,0.362
Spectral Clustering,0.414,0.482,0.075
Spectral Clustering + pca,0.424,0.475,0.22
Spectral Clustering + tsne,0.274,0.33,0.266
Spectral Clustering + umap,0.395,0.43,0.358
