,ARI,NMI,Silhouette
k-means,0.722,0.65,0.109
k-means + pca,0.718,0.638,0.109
k-means + tsne,0.433,0.412,0.069
k-means + umap,0.703,0.62,0.1
Birch,0.629,0.515,0.088
Birch + pca,0.71,0.612,0.1
Birch + tsne,0.505,0.421,0.074
Birch + umap,0.561,0.521,0.136
GMM,0.599,0.487,0.09
GMM + pca,0.581,0.593,0.098
GMM + tsne,0.223,0.26,0.044
GMM + umap,0.728,0.629,0.103
PAM,0.417,0.449,0.085
PAM + pca,0.697,0.619,0.108
PAM + tsne,0.341,0.38,0.072
PAM + umap,0.712,0.624,0.101
Spectral Clustering,0.745,0.651,0.107
Spectral Clustering + pca,0.747,0.645,0.108
Spectral Clustering + tsne,0.312,0.347,0.064
Spectral Clustering + umap,0.699,0.619,0.1
