,ARI,NMI,Silhouette
k-means,0.493,0.541,0.087
k-means + pca,0.448,0.503,0.193
k-means + tsne,0.313,0.401,0.276
k-means + umap,0.432,0.474,0.348
Birch,0.416,0.395,0.041
Birch + pca,0.332,0.399,0.131
Birch + tsne,0.262,0.361,0.209
Birch + umap,0.456,0.458,0.419
GMM,0.383,0.367,0.032
GMM + pca,0.495,0.478,0.145
GMM + tsne,0.379,0.379,0.222
GMM + umap,0.462,0.481,0.28
PAM,0.201,0.281,0.044
PAM + pca,0.446,0.489,0.187
PAM + tsne,0.307,0.402,0.275
PAM + umap,0.433,0.477,0.345
Spectral Clustering,0.472,0.523,0.078
Spectral Clustering + pca,0.431,0.487,0.186
Spectral Clustering + tsne,0.294,0.401,0.27
Spectral Clustering + umap,0.441,0.493,0.334
