,ARI,NMI,Silhouette
k-means,0.265,0.236,0.055
k-means + pca,0.264,0.234,0.125
k-means + tsne,0.185,0.162,0.243
k-means + umap,0.241,0.196,0.285
Birch,0.09,0.087,0.018
Birch + pca,-0.004,0.049,0.032
Birch + tsne,0.041,0.073,0.189
Birch + umap,0.211,0.192,0.281
GMM,-0.008,0.003,0.023
GMM + pca,0.043,0.053,0.078
GMM + tsne,0.05,0.112,0.205
GMM + umap,0.062,0.096,0.194
PAM,0.061,0.059,0.04
PAM + pca,0.183,0.183,0.106
PAM + tsne,0.155,0.157,0.241
PAM + umap,0.139,0.171,0.27
Spectral Clustering,0.246,0.21,0.05
Spectral Clustering + pca,0.212,0.219,0.117
Spectral Clustering + tsne,0.163,0.15,0.24
Spectral Clustering + umap,0.21,0.181,0.281
